id;age;sex;ipd(mm);taL;taR;tv;correctionR;correctionL;timeCorrection(sec);date;expName;blocksRepN;trialsRepN;rectWidth;margin;length;height;lengthStim;heightStim;blackBG;resolution;oriL;oriR;heightDrawStimuli0;heightDrawStimuli1;blockN;blockNCon;blockSf;blockScreenDistL;blockScreenDistR;trialN;trialNBlock;trialAlpha;blockAlpha;startGetTIme;endGetTIme;startTS;endTS;responseCorrect;responseKey;blockEndTS;blockStartTS
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;5.0;-10;0.0;0.0;20;0;4;25;25;0;0;15.0;15.0;150.825;156.116;1594134591.7615;1594134597.0521;0;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;8.0;8;0.0;0.0;20;0;4;25;25;1;1;0.0;15.0;156.285;157.321;1594134597.221;1594134598.2567;1;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;9.0;9;0.0;0.0;20;0;4;25;25;2;2;0.0;15.0;157.474;158.881;1594134598.4096;1594134599.8165;1;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-10;-10.0;0.0;0.0;20;0;4;25;25;3;3;0.0;15.0;159.032;159.972;1594134599.9674;1594134600.9074;1;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-10.0;5;0.0;0.0;20;0;4;25;25;4;4;15.0;15.0;160.124;164.637;1594134601.0603;1594134605.5725;1;7;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;9.0;9;0.0;0.0;20;0;4;25;25;5;5;0.0;15.0;164.786;166.756;1594134605.7214;1594134607.6915;1;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;7.0;-8;0.0;0.0;20;0;4;25;25;6;6;15.0;15.0;166.913;170.78;1594134607.8484;1594134611.7155;0;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;9.0;-6;0.0;0.0;20;0;4;25;25;7;7;15.0;15.0;170.933;173.47;1594134611.8694;1594134614.406;1;7;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-7;8.0;0.0;0.0;20;0;4;25;25;8;8;15.0;15.0;173.629;174.899;1594134614.5649;1594134615.8343;1;7;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;7.0;7;0.0;0.0;20;0;4;25;25;9;9;0.0;15.0;175.056;176.057;1594134615.9912;1594134616.9932;1;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;8.0;8;0.0;0.0;20;0;4;25;25;10;10;0.0;15.0;176.207;177.0;1594134617.1431;1594134617.9361;1;5;0;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-9.0;6;0.0;0.0;20;0;4;25;25;11;11;15.0;15.0;177.154;178.164;1594134618.09;1594134619.1;1;7;1594134619.1;1594134591.7615
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-6;9.0;0.0;0.0;4;1;10;50;50;12;0;15.0;15.0;192.561;196.659;1594134633.497;1594134637.5946;1;7;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;7.0;-8;0.0;0.0;4;1;10;50;50;13;1;15.0;15.0;196.82;198.756;1594134637.7555;1594134639.692;0;5;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;6;6.0;0.0;0.0;4;1;10;50;50;14;2;0.0;15.0;198.903;200.932;1594134639.8389;1594134641.8679;1;5;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;10;-5.0;0.0;0.0;4;1;10;50;50;15;3;15.0;15.0;201.09;202.06;1594134642.0258;1594134642.9958;1;7;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-5.0;-5;0.0;0.0;4;1;10;50;50;16;4;0.0;15.0;202.21;203.202;1594134643.1467;1594134644.1377;1;5;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-8.0;7;0.0;0.0;4;1;10;50;50;17;5;15.0;15.0;203.347;204.287;1594134644.2827;1594134645.2231;1;7;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-6;9.0;0.0;0.0;4;1;10;50;50;18;6;15.0;15.0;204.44;205.4;1594134645.3765;1594134646.336;1;7;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-6;-6.0;0.0;0.0;4;1;10;50;50;19;7;0.0;15.0;205.547;206.328;1594134646.4819;1594134647.2639;1;5;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;10;-5.0;0.0;0.0;4;1;10;50;50;20;8;15.0;15.0;206.478;208.07;1594134647.4139;1594134649.0061;1;7;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-9.0;-9;0.0;0.0;4;1;10;50;50;21;9;0.0;15.0;208.227;209.311;1594134649.162;1594134650.2475;1;5;0;1594134633.497
BS;22;m;70;0.25;0;;0;0;1;2020_Jul_07_1808;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-7.0;-7;0.0;0.0;4;1;10;50;50;22;10;0.0;15.0;209.465;211.381;1594134650.4004;1594134652.3167;1;5;0;1594134633.497
