id;age;sex;ipd(mm);taL;taR;tv;correctionR;correctionL;timeCorrection(sec);date;expName;blocksRepN;trialsRepN;rectWidth;margin;length;height;lengthStim;heightStim;blackBG;resolution;oriL;oriR;heightDrawStimuli0;heightDrawStimuli1;blockN;blockNCon;blockSf;blockScreenDistL;blockScreenDistR;trialN;trialNBlock;trialAlpha;blockAlpha;startGetTIme;endGetTIme;startTS;endTS;responseCorrect;responseKey;blockEndTS;blockStartTS
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-13;-13.0;0.0;0.0;7;0;1;50;25;0;0;0.0;30.0;128.71;129.85;1599049766.9598;1599049768.1006;1;5;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-8;-8.0;0.0;0.0;7;0;1;50;25;1;1;0.0;30.0;130.017;130.618;1599049768.2667;1599049768.8674;1;5;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-17.0;13;0.0;0.0;7;0;1;50;25;2;2;30.0;30.0;130.769;131.385;1599049769.0194;1599049769.6358;1;7;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;23.0;23;0.0;0.0;7;0;1;50;25;3;3;0.0;30.0;131.54;132.127;1599049769.7903;1599049770.3762;1;5;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;11;11.0;0.0;0.0;7;0;1;50;25;4;4;0.0;30.0;132.284;132.941;1599049770.5342;1599049771.1909;1;5;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;15.0;-15;0.0;0.0;7;0;1;50;25;5;5;30.0;30.0;133.085;133.753;1599049771.3349;1599049772.0036;1;7;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-17.0;13;0.0;0.0;7;0;1;50;25;6;6;30.0;30.0;133.901;134.528;1599049772.1505;1599049772.7781;1;7;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-25.0;5;0.0;0.0;7;0;1;50;25;7;7;30.0;30.0;134.672;135.218;1599049772.9231;1599049773.4682;1;7;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-13;-13.0;0.0;0.0;7;0;1;50;25;8;8;0.0;30.0;135.372;135.99;1599049773.6222;1599049774.2401;1;5;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-17;13.0;0.0;0.0;7;0;1;50;25;9;9;30.0;30.0;136.144;136.945;1599049774.3939;1599049775.1951;1;7;0;1599049766.9598
KR;29;m;61;-2.25;-3;;0;0;0;2020_Sep_02_1528;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;7;-23.0;0.0;0.0;7;0;1;50;25;10;10;30.0;30.0;137.091;137.898;1599049775.3411;1599049776.1482;0;5;0;1599049766.9598
