id;age;sex;ipd(mm);taL;taR;tv;correctionR;correctionL;timeCorrection(sec);date;expName;blocksRepN;trialsRepN;rectWidth;margin;length;height;lengthStim;heightStim;blackBG;resolution;oriL;oriR;heightDrawStimuli0;heightDrawStimuli1;blockN;blockNCon;blockSf;blockScreenDistL;blockScreenDistR;trialN;trialNBlock;trialAlpha;blockAlpha;startGetTIme;endGetTIme;startTS;endTS;responseCorrect;responseKey;blockEndTS;blockStartTS
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-10.0;-10;0.0;0.0;8;0;4;50;25;0;0;0.0;15.0;162.102;164.014;1598883178.2902;1598883180.203;1;5;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;8;-7.0;0.0;0.0;8;0;4;50;25;1;1;15.0;15.0;164.163;165.472;1598883180.3509;1598883181.6604;0;5;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;8.0;8;0.0;0.0;8;0;4;50;25;2;2;0.0;15.0;165.619;168.808;1598883181.8083;1598883184.996;1;5;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;5;5.0;0.0;0.0;8;0;4;50;25;3;3;0.0;15.0;168.955;170.953;1598883185.1429;1598883187.1408;1;5;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;6.0;6;0.0;0.0;8;0;4;50;25;4;4;0.0;15.0;171.11;173.004;1598883187.2983;1598883189.1921;1;5;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;8;-7.0;0.0;0.0;8;0;4;50;25;5;5;15.0;15.0;173.149;177.129;1598883189.338;1598883193.3179;1;7;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;10.0;-5;0.0;0.0;8;0;4;50;25;6;6;15.0;15.0;177.287;180.068;1598883193.475;1598883196.2569;1;7;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-8.0;-8;0.0;0.0;8;0;4;50;25;7;7;0.0;15.0;180.215;181.361;1598883196.4036;1598883197.5495;1;5;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-7;-7.0;0.0;0.0;8;0;4;50;25;8;8;0.0;15.0;181.511;182.657;1598883197.6995;1598883198.8458;1;5;0;1598883178.2902
HG;21;f;65;-0.5;-0.5;;-5;-5.5;0;2020_Aug_31_1711;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-6.0;9;0.0;0.0;8;0;4;50;25;9;9;15.0;15.0;182.808;184.804;1598883198.9967;1598883200.9924;0;5;0;1598883178.2902
